"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.0319679940171991,0.399497709187625,0.0357097865254363,0.00010213009326125,0.0178089992493431,0.0470980260181676,0.0485323618099524,0.0853244094341098,0.203766183453271,0.130192400211634,0
"B1",0.0536343112850371,0.0963550072933829,0.435733697225923,0.000120344691882133,0.1922896044791,0.0554842370999569,0.00010197461038712,0.0970974025285924,0.0690399746024572,0.000143446183281464,0
"C1",0.0253916835101473,0.000100280291986987,0.0269246775381291,0.281594989996387,0.0271971791398889,0.0118162987354096,0.000117912322518223,0.264744729672577,0.362011706510133,0.000100542282823106,0
"D1",0.117070232788991,0.0911613888507849,0.091049274741461,0.0817591231659495,0.000102241884411676,0.0431043711522956,0.069112270728312,0.117797804281235,0.13742157744219,0.25142171496437,0
"E1",0.258170620779615,0.0313934859279187,0.0456707546511089,0.17522891691579,0.0946936180246924,0.0313486185635879,0.252224243867127,0.000103141886643208,0.0325069797425168,0.0786596196410002,0
"G1",0.0487974628280507,0.185991127211262,0.0438155613704063,0.111202330360266,0.0709659009427764,0.000141479596143195,0.0238081842156361,0.0952878832757415,0.000100018097885708,0.419890052101832,0
"H1",0.00017961299421285,0.0247204186524456,0.154106528661788,0.000120012759085237,0.273244860822536,0.0712732008634289,0.204633655155806,0.0495501897133483,0.101913908338986,0.120257612038363,0
"I1",0.435690757465881,0.14149282390882,0.000175252672287291,0.000183381554674566,0.171763090863131,0.148002148760428,0.0548770489208266,0.000341151902097522,0.000224583099088425,0.0472497608527662,0
"J1",0.0187476009994484,0.161690774628452,0.250375485747187,0.0728737625792538,0.0548187934521249,0.16514270929095,0.000138990668574989,0.0372728711449527,0.0201961744632177,0.218742837025839,0
"K1",0.000165183775846564,0.0448897110592957,0.0383912969174408,0.384786333707016,0.125842031095551,0.265643485409247,0.0726326119378376,0.024964258092409,9.9914065836928e-05,0.0425851739395198,0
"A2",0.000100097858086309,0.321772976659115,0.232202749537333,0.000104318175857064,0.133158399370705,0.0571402989429764,0.0395817057315196,0.0531215604452989,0.122306372326059,0.0405115209530492,0
"B2",0.0563527931859385,0.506922202622622,0.000150401155250038,0.150875590917214,0.171902425478943,0.0585642144083604,0.000100027857281043,0.000111754701199799,0.000163933902092567,0.0548566557710983,0
"C2",0.000103191245484578,0.191259113279625,0.0684056283470324,0.194105957324326,0.071277634849418,0.000123335223323447,0.261835928164491,0.103281113538107,0.0287541548889155,0.0808539431392774,0
"D2",0.0397396017400389,0.257101815661269,0.000190216932018568,0.0623393852999067,0.094643301834551,0.186351942627833,0.000148425904881752,0.10226721747557,0.000154654869557129,0.257063437654374,0
"E2",0.281562772217889,0.06966861192633,0.340706353370722,0.000198562194489259,0.000132903391249914,0.147772130092629,0.0243580040183458,0.000118907401749571,0.00011662775748831,0.135365127629106,0
"G2",0.0826777768023975,0.0218536579303871,0.0833922870713799,0.0289560340489013,0.327654982981569,0.372208216638568,9.9939217982047e-05,0.000363348881790115,0.0826425339108842,0.000151222516141158,0
"H2",0.347914164501758,0.0822625198625792,0.221804613585395,0.0318862822455838,0.038770001366883,0.20102039761885,0.000231044453741483,0.000127708257693854,0.075874055146054,0.000109212961461823,0
"I2",0.196675622300314,0.000112364920253076,0.0906572819326299,0.0452906008534927,0.325794506334317,0.136004486638142,0.0883512267639348,0.0472493025031012,0.0697067008366386,0.000157906917176292,0
"J2",0.0912147437297851,0.000241369512099866,0.116411799997061,0.000217641592193282,0.000131983314707626,0.000100155633767913,0.206280723674848,0.213304176106709,0.000105844752846252,0.371991561685982,0
"K2",0.366008536088013,0.0907734077887694,0.223574503949658,0.000142994173736079,0.000136172202655694,0.108435735843846,0.21057829448459,0.000122769229130403,0.000106925501307752,0.000120660738293766,0
"A3",0.596755906895888,0.188098180870043,0.000153057509348594,0.136541322576602,0.0443708853904354,9.99089506403628e-05,0.000122659363099826,0.0121192562159076,0.0215313435248795,0.000106168647832548,0.000101310055322689
"B3",0.000135669667656921,0.000284252269027544,0.0330936568981447,0.860734451675023,0.000221831060681343,0.000100837503401789,0.103511077579714,0.000154383031443007,0.00059790789085739,0.000760373273834425,0.000405559150215573
"C3",0.0417926211207047,0.000164181327306036,0.000129805255345058,0.19102353766627,0.000119350531817135,0.127508667925855,0.290569410897992,0.144622081543636,0.103516404760232,0.0893732234102158,0.0111807155606268
"D3",0.262569017271534,0.000216862412375582,0.267928939357497,0.144955801664279,0.00770545382809329,0.000440946986834313,0.139500795855481,0.166942278657845,0.00067735572948277,0.000172903133616002,0.00888964510296246
"E3",0.0329025889176206,0.0458518865431797,0.0390996182746806,0.000176393077662061,0.17461383687723,0.293779839616273,0.0968541044265245,0.247979614082689,0.0263916635537625,0.0422325507478119,0.000117903882567227
"G3",0.0295438296540954,0.000100473661913391,0.0328483285465088,0.173796973586471,0.000260739202936305,0.0588742633759971,0.0708704354657869,0.117666500888982,0.114442710797457,0.320620293375498,0.0809754514443531
"H3",0.126370446677081,0.108442083823669,0.0476564960026348,0.0778409076641334,0.104722392117601,0.232284091227604,0.14109352009797,0.131781790433888,0.000100204023505668,0.0293304309808001,0.000377636951113396
"I3",0.000100638343474677,0.160678582251554,0.144810112724045,0.000100906922709455,0.405003866222495,0.0961979204621437,0.000102795687477685,0.0233054744907735,0.144778123617111,0.0244725058178964,0.000449073460319681
"J3",0.000152733860019591,0.100476881877351,0.251857616684616,9.99111974945532e-05,0.000101107506023967,0.000103753880380026,0.466896074525638,0.179671235643678,0.000102003940579422,0.000373065223890936,0.000165615660328492
"K3",0.00017430917203304,0.000110268758405882,0.161195339672155,0.224427265670882,0.0216505775964382,0.173684238580424,0.161983843489662,0.16668544039782,0.000108986578575382,0.0633385934834733,0.0266411366001323
"A4",0.281049811262258,0.207560587792715,0.112528270549251,0.083939170839362,0.000100620781592901,0.00957123749393632,0.13149250046522,0.0514397668783296,0.00011878793619713,0.0379846282573348,0.0842146177438041
"B4",0.0416286722646502,0.180135824308581,0.0811907553915244,0.176573685000751,0.039554935706246,0.000100311260719378,0.000124955039755277,0.041549654590949,0.138462694539029,0.0690435942578467,0.231634917639948
"C4",0.104671073166282,0.0980340200262514,9.99447347833111e-05,0.00016789199143332,0.0754453434516443,0.291056484520825,0.147977851905201,0.0393817253365018,0.00010497539023176,0.0790780996205311,0.163982589856316
"D4",0.144053904062237,0.0879545671523205,0.127122922440852,0.000146238990465007,0.0337369408795766,0.154727922311918,0.038995522653733,0.0344538773564271,0.142225923238939,0.13009414045991,0.106488040453621
"E4",0.157356074969854,0.070138890886128,0.0404577697784513,0.160818122633706,0.000193683758514222,0.000102173872336063,0.0290957187900462,0.291260102383892,0.0835530018195576,0.0808126135684357,0.0862118475390792
"G4",0.145783451163813,0.041634079702767,0.000100736527113623,0.270651431048552,0.125244941777594,0.0628278439373682,0.0539983117983599,0.0416800337783925,0.000107039224291533,0.211137441157904,0.0468346898838439
"H4",0.238035200509013,0.0499075139802254,0.182283003966289,0.0235659612781117,0.200395495948684,0.000145412053982772,0.000154238009734966,0.0618725394409163,0.000100245171726731,0.0928431340527117,0.150697255588605
"I4",0.147154714760765,0.0342292256090123,0.000263010334807679,9.99523926818939e-05,0.230636502754574,0.000110553603259388,0.0500694087682903,0.275699157720575,0.000159506112305717,0.0327769183394716,0.228801049604257
"J4",0.115150958196824,0.000100065180253216,0.116646307716152,0.0785459448809672,0.0591333528343477,0.0785341427881843,0.040479138392581,0.118068822507326,0.0198936208420642,0.215564297493327,0.157883349167972
"K4",0.158172259550256,0.000107208854136406,0.026485287141388,0.0284368875187426,0.0266128754655226,0.103815055884725,0.118899029578315,0.0649598503677947,0.092410285344988,0.251221633791879,0.128879626502252
