"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.0125397012462637,0.0271971762902364,0.0840449551993633,0.372663824430397,0.0251075444343124,0.0931968039275899,0.0127997029161429,0.0919176301938788,0.266225481004609,0.0143071803572075,0
"B1",0.0416994641881782,0.00262908421647167,0.0265248467729666,0.12011582192449,0.124446411428138,0.186226746690953,0.100849135313276,0.111806025433048,0.0281581777012967,0.257544286331181,0
"C1",0.0280598931304856,0.00715512642507336,0.00511642376811743,0.299074737440486,0.157177677262606,0.190051815595159,0.127056206340487,0.158206949945011,0.0196044806412737,0.00849668945130145,0
"D1",0.384348916474529,0.0989704757233965,0.00704204610939136,0.135696881498638,0.0761728884947105,0.0430119768764042,0.0650177665360777,0.150376026040599,0.0171349750935975,0.0222280471526562,0
"E1",0.0887389968739971,0.0319997822179362,0.336415073527589,0.0276594235514075,0.136901658870721,0.0761959867161711,0.0602006013806382,0.0705103524468082,0.0544563018938345,0.116921822520897,0
"G1",0.0157296211120376,0.0214200685496239,0.12394419659678,0.04194065287767,0.265743080522475,0.178822804325698,0.261418010163855,0.00268609579597585,0.055372108864984,0.0329233611909,0
"H1",0.0506979221217584,0.00119819124359051,0.0646903897658275,0.038995867914416,0.0272457543647777,0.0653903825642642,0.0287193118199403,0.00646482135554412,0.508440914752,0.208156444097881,0
"I1",0.364674719735389,0.114587663433153,0.0949670502236525,0.00380011097198191,0.0424929259597175,0.0125253063666621,0.0282717940388095,0.184331212751053,0.0403177718379929,0.114031444681588,0
"J1",0.113459919088577,0.0598716037363204,0.0371773500281929,0.00637536236605364,0.0286504152589659,0.28934734466539,0.242760571827368,0.0335775386009796,0.0862922812220034,0.10248761320615,0
"K1",0.027975467130458,0.0161981106525305,0.505046116136296,0.0240747772185802,0.00385630704671666,0.197221615036876,0.0128434915995662,0.0344361198922896,0.0377306780926983,0.140617317193989,0
"A2",0.0198578292342083,0.0402434527103702,0.0789759822715503,0.222913613628953,0.0487824175926005,0.180698759329711,0.23151708969713,0.0811407137439057,0.069563680001209,0.0263064617903619,0
"B2",0.139911819117375,0.079651451227388,0.0832663647593356,0.0725280626595973,0.0639893913373686,0.157466622493795,0.0633030989990607,0.14139179654921,0.0379684650701261,0.160522927786744,0
"C2",0.0197587671658721,0.126355675908023,0.217518944327209,0.0907212380218432,0.0944425407747073,0.0986523280434543,0.0281522861036522,0.00543611618555177,0.0863867341676822,0.232575369302005,0
"D2",0.169889124467865,0.0399609067289634,0.0754473744026153,0.0894100746745895,0.0513665957587392,0.186237106308571,0.0512255388656703,0.174542478998568,0.0302260493447449,0.131694750449674,0
"E2",0.274334620162972,0.134780539937931,0.0137937161166717,0.0573973233413811,0.0164786662967841,0.0897315315106656,0.0865469303808115,0.0184042931360601,0.155826164217236,0.152706214899486,0
"G2",0.0322212209083259,0.13674439213707,0.0510105274121497,0.226386706865289,0.0478810938227756,0.111272110182289,0.180294652180874,0.133820653893191,0.078248140239351,0.00212050235868385,0
"H2",0.149735749228501,0.107197694202999,0.00931128257162708,0.496166261902896,0.035030443303909,0.0155713630752264,0.087327556899245,0.00728686763650679,0.005806500498012,0.0865662806810766,0
"I2",0.0690576158831922,0.186789960129405,0.037063405370605,0.226340971698018,0.13473822766481,0.0252651309031126,0.0130354145477567,0.0117246761236764,0.126015742252346,0.169968855427077,0
"J2",0.0412293843215422,0.134831740811435,0.0770840137756868,0.139936531904925,0.0712914518074892,0.080463271151275,0.142828360669416,0.189822698248948,0.0107246610979825,0.111787886211301,0
"K2",0.194497831069186,0.0533931264051999,0.0794088005678135,0.0424053125794481,0.292411372821766,0.16973458468124,0.0108272511832655,0.121038887317231,0.0302557172453885,0.00602711612946158,0
"A3",0.080623378354318,0.0386271877399585,0.0747820014133891,0.0812309597735226,0.00643209920923573,0.0112484542528925,0.147905550816803,0.292912968971128,0.184244282863978,0.00408558504987747,0.0779075315548972
"B3",0.263006753718727,0.0520882394141563,1.32450126413885e-05,0.0516781944717329,0.220895480054968,0.0772581373765469,0.11860040570954,0.125385550218765,0.0829161554022856,0.000545655945025245,0.0076121826756121
"C3",0.0278930458171371,0.0234973129619683,0.0464522821351324,0.0317365841393709,0.385451075201802,0.013676341965121,0.285021100898284,0.0713490659240091,0.000367002324195213,0.0768098326124337,0.037746356020546
"D3",0.127831779675883,0.110802813069133,0.0216909086422863,0.153090122972023,0.110256186595064,0.00218614915817371,0.012328600176396,0.400433292189348,0.0344858232744202,0.020795857135492,0.00609846711178016
"E3",0.0311043799355803,0.115945161303329,0.0225297676244256,0.138053310865639,0.0917668471056758,0.0673462249461348,0.0205709115737172,0.39831294111185,0.0309516498123344,0.00705685621343427,0.07636194950788
"G3",0.0229083636226867,0.00282709342175583,0.0697198078092353,0.00137313504543426,0.641945114951858,0.00329679842952116,0.0524106932076401,0.166600873812142,0.0112960202361532,0.0193294010675145,0.00829269839605912
"H3",0.102877929403184,0.149551151719617,0.108676136213663,0.00459083019688888,0.139007421638633,0.0298602201769853,0.0423905073544381,0.00494681821569115,0.172140313779221,0.242470535254127,0.00348813604755265
"I3",0.119216137915486,0.0755903624639122,0.00361544720491195,0.0558780915391532,0.229922361749543,0.00800402775432344,0.0208181747606284,0.0564874545434819,0.144599224481599,0.285868508373157,2.09213803518558e-07
"J3",0.104194195028522,0.174897691877258,0.37077311911897,0.148539461983292,0.0664681781743246,0.0249135044506524,0.0332214849820806,0.0267726998458568,0.0446930810696361,0.00543729638769372,8.92870817134259e-05
"K3",0.291441151756913,0.177032841893731,0.00118443774571592,0.0844442002183536,0.0117041030461747,0.270942211937345,0.0151642940265042,0.0836223800554399,0.0621196724651748,0.00233024442899682,1.4462425650261e-05
"A4",0.116315894082197,0.200384252636416,0.00813964409277273,0.0286719609470669,0.0325849689290943,0.176755083876471,0.112862510576297,0.116503532323365,0.162948399854501,0.0117194888234898,0.0331142638583284
"B4",0.219512385342423,0.177381772481907,0.0352146458272045,0.00068879789571115,0.376077297504213,0.055777483543537,0.00373449730899122,0.0363440012368353,0.00205028752206186,0.0880682969081955,0.00515053442892113
"C4",0.0305996262233912,0.0383688072603703,0.367838850873314,0.0757493864895868,0.00409968869249643,0.125628277181774,0.00570128326319303,0.137634534833234,0.033586368027779,0.00368958819157823,0.177103588963283
"D4",0.0620404665251915,0.0691726582605203,0.0332034260878486,0.109810220311749,0.000541886777164108,0.346120992395191,0.0154142993912638,0.139319805000058,0.181650316431871,0.00871279503112835,0.0340131337880148
"E4",0.0893154837113768,0.183054396151159,0.112789373495356,0.0145078590877445,0.0953328336876983,0.340970998234225,0.0094359570308833,0.0715328266202866,0.0130120685376833,0.0147388360293809,0.0553093674142063
"G4",0.0536642434905094,0.00724290367437268,0.00362801796053365,0.0213091532905779,0.151989374643461,0.0232042352095119,0.123300970188769,0.023762673929218,0.0563157268170676,0.0259990604059988,0.50958364038998
"H4",0.0105900723682611,0.00222573360020369,0.0145901639851607,0.112980611999829,0.118458358687467,0.0736821670926876,0.171162709471241,0.0531997511093693,0.136444520632608,0.125476290512895,0.181189620540277
"I4",0.102700347794298,0.00141334842231213,0.00693031555157274,0.018580791939153,0.0469318186232937,0.110937601142013,0.299202763679497,0.0435884486576273,0.2540391454689,0.0985962251364662,0.0170791935848663
"J4",0.135892481172538,0.0988937311627222,0.0800801755933637,0.0677946658895307,0.138939763544669,0.237611005666989,0.116858602733421,0.0259722092260266,0.0182428958611101,0.0519085924263717,0.0278058767232587
"K4",0.00954628303337349,0.168574849396517,0.0438084416834615,0.290827526115925,0.0296027755427386,0.0989581111783022,0.188139079285004,0.0264501281154043,0.0889408061176623,0.0287396140950361,0.026412385436576
