"1","2","3","4"
"A1",0.988154848715158,0.0118451512848419,0,0
"B1",0.999984575594145,1.54244058550948e-05,0,0
"C1",0.999794612564203,0.000205387435797071,0,0
"D1",0.593729108051996,0.406270891948004,0,0
"E1",0.852033837166823,0.147966162833177,0,0
"G1",0.97497448655565,0.0250255134443496,0,0
"H1",0.858327852113567,0.141672147886433,0,0
"I1",0.313906771621006,0.686093228378994,0,0
"J1",0.827619108476673,0.172380891523327,0,0
"K1",0.767366993338521,0.232633006661479,0,0
"A2",0,0.994455535714015,0.0055444642859853,0
"B2",0,0.0761468602142288,0.923853139785771,0
"C2",0,0.946906760308421,0.0530932396915784,0
"D2",0,0.961363625873215,0.0386363741267855,0
"E2",0,0.999914113404623,8.58865953770142e-05,0
"G2",0,0.998188515912762,0.00181148408723796,0
"H2",0,0.782016194800115,0.217983805199885,0
"I2",0,0.844394253078605,0.155605746921395,0
"J2",0,0.215546014561004,0.784453985438996,0
"K2",0,0.764820725765341,0.235179274234659,0
"A3",0,0,0.41272641746462,0.58727358253538
"B3",0,0,0.999577265929981,0.000422734070018492
"C3",0,0,0.999915793382374,8.42066176262524e-05
"D3",0,0,0.20907705776228,0.79092294223772
"E3",0,0,0.773567220554519,0.226432779445481
"G3",0,0,0.996310336247236,0.00368966375276456
"H3",0,0,0.361514853183641,0.638485146816359
"I3",0,0,0.960057974954558,0.0399420250454421
"J3",0,0,0.547741912584428,0.452258087415572
"K3",0,0,0.128218699088705,0.871781300911295
"END3",0,0,1,0
"A4",0,0,0,1
"B4",0,0,0,1
"C4",0,0,0,1
"D4",0,0,0,1
"E4",0,0,0,1
"G4",0,0,0,1
"H4",0,0,0,1
"I4",0,0,0,1
"J4",0,0,0,1
"K4",0,0,0,1
"END4",0,0,0,1
