"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.00913671494061734,0.357581911129918,0.086080950235132,0.000237636165366554,0.0297204018496425,0.0530014907572718,0.0906721957368205,0.0284845539177737,0.224883272823723,0.120200872443734,0
"B1",0.0470975329943529,0.0556179218564199,0.196837271443324,0.0914504228675289,0.111866363603529,0.111499350924993,0.000103196293466611,0.305323119122944,0.00902651221776654,0.0711783086756755,0
"C1",0.0844997923924941,0.0128481822419763,0.0835815127830477,0.247939620402194,0.0423423136669399,0.000101792282780664,0.0134770485824668,0.209449102156554,0.271473946795445,0.0342866886961018,0
"D1",0.111724949865236,0.0374823667763768,0.107596634435955,0.140619298389541,0.0187980857179756,0.086763892676436,0.14438614370712,0.104553673484524,0.0559302532302592,0.192144701716576,0
"E1",0.33021925604635,0.000193335799430052,0.0970517201862811,0.102889125100029,0.0566192103057629,0.100729580659999,0.173344589827046,0.000120985243891387,0.0601110916007423,0.0787211052304684,0
"G1",0.128704474610431,0.0918386295009456,0.140583615045571,0.0899049015405465,0.0169875573497314,0.0155076108344216,0.045797960853932,0.181353995471915,0.00993978946726024,0.279381465325246,0
"H1",0.0130693288917103,0.0117800223153889,0.236614816879774,0.0242603153573148,0.235801777777063,0.0697574531378084,0.0985758755724512,0.073811038081478,0.0571740144613557,0.179155357525655,0
"I1",0.507125151439968,0.130004037274073,0.000462427897850447,0.0417757413821601,0.0848401629909726,0.125054874036615,0.0716798102284381,0.000294142739422437,0.000115204416242933,0.0386484475942568,0
"J1",0.000116484945785924,0.036974758438149,0.0935766927827535,0.0417451479346957,0.178321786356882,0.137441612586754,0.077352717040531,0.0675968996179571,0.0127970546996238,0.354076845596868,0
"K1",0.000134235450421059,0.130009634012062,0.0130694436629776,0.183875230844023,0.0228906397131243,0.42294617048133,0.0735816644361604,0.0119418268486811,0.0173744169268124,0.124176737624407,0
"A2",0.000108997665865336,0.19982604045545,0.352465032484927,0.0884611218096708,0.0269051958734968,0.05441129361291,0.0432806682025137,0.0858589828311629,0.131309307040487,0.0173733600235171,0
"B2",0.000154132051862776,0.954848499664441,0.000236577996694081,0.00296594290740475,0.000185680094758424,0.000103984477906272,0.0407910358208263,0.000198922638843816,0.000408065788928717,0.000107158558333894,0
"C2",0.0212491292057212,0.102408440920413,0.157544704797349,0.000136382542216962,0.000103302115951927,0.0470284740786118,0.44226812498357,0.0745058423709162,0.137445560136244,0.0173100388490064,0
"D2",0.0668319658827565,0.256370672741659,0.0931984676808194,0.000929661628426205,0.0796574276364444,0.162191546314686,0.0322292929763156,0.0590206883949597,0.102855821726251,0.146714455017681,0
"E2",0.042772663269612,0.0714892054008969,0.217969040346974,0.0178220634794851,0.109094801866631,0.268600767543482,0.0369808001897882,0.141717871018737,0.0145586725074363,0.078994114376958,0
"G2",0.0365412013091072,0.000104993440271868,0.0328863443937328,0.000289765763991849,0.200979887106267,0.204516144544798,0.000156004875533077,0.0239528218854038,0.225654943973251,0.274917892707644,0
"H2",0.326162113769396,0.239733702489074,0.0813622771232513,0.000148673720464703,0.051555943173986,0.129996863196099,0.152662539823964,0.000189177367081673,0.00493756587618216,0.013251143460501,0
"I2",0.203463742070515,0.144745203922345,0.0650507073140118,0.0385592079263861,0.161416602874065,0.101150987406231,0.160681500163192,0.0468722751847656,0.0314387746232319,0.0466209985152553,0
"J2",0.19336348034475,0.217630179863994,0.176914197387098,0.0725271130085855,0.0914913437418123,0.000374948294835921,0.000142567314842243,0.00124582729822648,0.153080211345189,0.0932301314006675,0
"K2",0.143996106956145,0.0578699219161531,0.168800457219906,0.322947548482786,0.15735677965578,0.000213677810395591,0.045518827938015,0.0643788967985086,0.0177211952424938,0.0211965879798167,0
"A3",0.512636723456295,0.00021001881093348,0.000118675574278234,0.000208872042980805,0.0593421562975286,0.000101872327491027,0.0391847366685579,0.176123551531525,0.0645836345077276,0.145732735374328,0.00175702340835482
"B3",0.000108122805993569,0.0106247022319985,0.0915547711508187,0.690755740443807,0.0696140392442615,0.0256236591404637,0.0278634362761374,0.0229569920400341,0.0606712519399571,0.00010040489006904,0.000126879836458937
"C3",0.000214508244232039,0.031336028131644,0.000170363626790484,0.559534005911049,0.0808661511639528,0.177085995198432,0.0296719727955797,0.000123310407489579,0.033320498013096,0.0875518340234888,0.000125332484245731
"D3",0.123317658570618,0.130032771180735,0.0780856435887295,0.342399699009855,0.000225803849988546,0.000125866476100222,0.000300542785250114,0.268778529045098,0.0561091281819962,0.000171789305555168,0.000452568006074883
"E3",0.194186041562007,0.000193334607813606,0.0283143514403877,0.103776534937728,0.0529053681530713,0.000104259385841543,0.112516078233771,0.0810220943512947,0.0700397572147202,0.325082966146478,0.0318592139668862
"G3",0.000110837374267347,0.0387867459987018,0.36679288334683,0.216377264324676,0.158815677803497,0.0232702945953322,0.157258795203598,0.0382163736275947,0.000160804191674769,0.000110093526573293,0.000100230007254261
"H3",0.00019366112500269,0.148220191570526,0.00010940938793386,0.162924779278732,0.0742426049314614,0.225845992097746,0.0778203541722209,0.125121742644246,0.0958653054778487,0.0890388406453434,0.000617118668939883
"I3",0.0710971665940375,0.0169401096949788,0.11655365212251,0.0211593577335927,0.174604676954608,0.0826028951336341,0.131014048917454,0.259839073454928,0.111610287992511,0.0140686469530836,0.000510084448661528
"J3",0.110808322208771,0.033298327638144,0.000108382465334447,0.040530866907295,0.0539278775327478,0.000153488617534871,0.196551305225228,0.13743866500807,0.0286007790547309,0.0790818655858562,0.319500119756288
"K3",0.0950785952582472,0.000114996112472639,0.000108525297172168,0.0677690897628998,0.221083906539608,0.0996889004945984,0.0386935240788066,0.0241698475742717,0.000737573685605403,0.404922461430844,0.0476325797654736
"A4",0.305726149190259,0.211503924646694,0.0893621730703365,0.14923192991688,0.000102443884935119,0.0143499268320835,0.119909367856449,0.0393372819487105,0.000164352844406859,0.0201787056389897,0.0501337441702557
"B4",0.126600673585868,0.00010282386174326,0.0542643366024841,0.159460821432919,0.0181297854758889,0.000104622469897678,0.0827228889918519,0.0723897412358821,0.13490214456569,0.0722816173818468,0.279040544395928
"C4",0.111166334862709,0.0710223089521334,0.000100004607640624,0.00946082356428346,0.0397163646414736,0.277450517769806,0.141256053792283,0.110000803048617,0.000100875037356202,0.140327069897537,0.0993988438261593
"D4",0.186480843617467,0.0199181242640511,0.218344923961604,0.0255270628521826,0.0247883588108222,0.0898401639906296,0.116972149286518,0.0651683953646845,0.03589194617074,0.133715812053373,0.083352219627929
"E4",0.250825718659188,0.00991184109691034,0.0096611462476854,0.0939862764947741,0.104335427420121,0.0477027092323041,0.0138524011291072,0.3777179821477,0.0258490042737608,0.020049595520698,0.0461078977777508
"G4",0.143715645852368,0.0428537981046467,0.0568194691277618,0.153515058359424,0.140367030403906,0.123440595305845,0.0337207872091715,0.0434882186100064,0.0554266105374888,0.0978708149226348,0.108781971566748
"H4",0.307386836043819,0.0427589369842834,0.169944498060604,0.000132754393427834,0.153407075315913,0.0158983802745952,0.024919066146358,0.0557909712047035,0.0158966607449634,0.0555279014475074,0.158336919383825
"I4",0.0991457008893585,0.135623047954399,0.0611096051976363,0.00016301995148498,0.275051026977995,0.000118497199667483,0.0342051306770884,0.204497503925428,0.0316188660683419,0.0150069603505783,0.143460640808023
"J4",0.0187684970576576,0.0357728961362112,0.181032153135781,0.0627680673702938,0.00010672287161581,0.182543971458017,0.0294724830755099,0.130185965145695,0.00149001299527543,0.253795943485037,0.104063287268906
"K4",0.082150364991542,0.0298838814341442,0.00785682507576837,0.0704460855612954,0.0344278528671908,0.02987806911339,0.147912963029203,0.0817746984284678,0.0952085874971387,0.231661817549181,0.188798854452679
