"A","B","C","D","E","G","H","I","J","K","END"
"A1",0.0224569229342308,0.383640616252498,0.0557196198349044,0.0236295137262595,0.0248102993265049,0.0823148935968807,0.0817771262819694,0.0352970876478071,0.171949211484821,0.118404708914124,0
"B1",0.0433758389150926,0.0704701053968677,0.243451632781792,0.0750485145597811,0.142253414871154,0.0591303577844224,0.00279517708102583,0.299793951286437,0.0258277720781608,0.0378532352452668,0
"C1",0.0836328820878519,0.0202289759918703,0.0505776401882359,0.306811836395766,0.0676890187389362,0.00793095100625256,0.00569674199291497,0.189368518666044,0.245756614166743,0.0223068207653865,0
"D1",0.0925907125323649,0.0579451538550081,0.0681909323011317,0.188106845537593,0.0177500345348624,0.00732572410201569,0.0774586133786286,0.079058162489946,0.0815752006395444,0.329998620628906,0
"E1",0.307667401678096,0.0428369525795678,0.0885606226463333,0.0635901838536213,0.0897097072739792,0.0805469294118148,0.187999517379493,0.0320106474105738,0.0479788671179666,0.0590991706485542,0
"G1",0.100451465594904,0.104278881778575,0.0879234337181531,0.0868688164943707,0.0199481286717322,0.0348332085132576,0.0515784197732249,0.14811536230484,0.0102250146179346,0.355777268533008,0
"H1",0.0388296022251052,0.00294231116293255,0.174268236813366,0.019258647600798,0.27276151097358,0.0431831239867517,0.155613580441363,0.0599605916648933,0.0562075036740499,0.17697489145716,0
"I1",0.487024479394127,0.101990899774146,0.024689247276172,0.00462725173707214,0.126696427533294,0.0742542828978615,0.0432390614274616,0.113968611184374,0.0182907544136077,0.00521898436188441,0
"J1",0.00734042532108436,0.0546163242225222,0.125189056542701,0.0787490166874301,0.145919426663426,0.12054335122367,0.0623174964625796,0.0446545579996026,0.0725655208146329,0.288104824062351,0
"K1",0.00846080268549793,0.0635166114936485,0.0203609012468945,0.312672819544373,0.0313173435400211,0.347714235763541,0.0807966702315914,0.00965925161195764,0.0133848518546514,0.112116512027823,0
"A2",0.0110587704960411,0.228948626985069,0.407560171534872,0.0419197094802657,0.0299723393412834,0.0109472286279023,0.0278474664114406,0.0542046780323102,0.114718903306624,0.0728221057841908,0
"B2",0.00121805345636591,0.2101221417747,0.0461626194615741,0.014313880542521,0.0512034070021419,0.0664396414392421,0.131975698622826,0.106988028990201,0.239977432000293,0.131599096710136,0
"C2",0.0145529630810613,0.149147568697473,0.124843326794122,0.0423317964425529,0.0137006544576903,0.066413282645979,0.348052744011066,0.0820650506707072,0.123360778322304,0.0355318348770443,0
"D2",0.0291541656500709,0.208316173761466,0.138276713080355,0.00425969850169677,0.105616453020197,0.182950433588385,0.0219295023142338,0.0822415776950701,0.093553756182603,0.133701526205924,0
"E2",0.0970205991882486,0.0607836445193494,0.196312632099752,0.0754670732967525,0.0751440973774621,0.26948538101075,0.0140128859730579,0.135489100254662,0.0134498938548549,0.0628346924251108,0
"G2",0.031192987851697,0.00928955572199013,0.0337019164794801,0.031613967560251,0.197906673950525,0.236548740425011,0.0121863118779871,0.0679932193730378,0.170910807479605,0.208655819280416,0
"H2",0.279901613105058,0.2464357339993,0.0822575621892334,0.0189505525651123,0.0927884530376125,0.0785766257694018,0.123271104769688,0.02074948939768,0.0413146144996871,0.0157542506672266,0
"I2",0.10071865963304,0.165190745967043,0.0473561474120562,0.0169582956024454,0.225713165678971,0.157751662162461,0.11221216113798,0.072456579967381,0.0390731684531739,0.0625694139854496,0
"J2",0.192231237944955,0.157937011598767,0.279844070878908,0.00618531163030083,0.002725345379875,0.0108191549375654,0.0584060784595904,0.0840317882202232,0.112250518456837,0.0955694824929795,0
"K2",0.145300105946362,0.0593147900187102,0.203819017179914,0.253399313455509,0.091210804712255,0.0404931092830823,0.0692328553317899,0.0483998807027029,0.0689005659180409,0.0199295574516341,0
"A3",0.0131465051973162,0.130357206459867,0.0811646185961275,0.168371546912363,0.1807119648516,0.0886024784704251,0.150917745103037,0.085932487406175,0.00910268693539685,0.0895286785981725,0.00216408146952062
"B3",0.00186454560295228,0.310268429902135,0.120998926739887,0.436063014693693,0.0468830369712129,0.0218000180520138,0.0199354147674821,0.00867651293067664,0.029541815888825,0.00297191983342283,0.000996364617699249
"C3",0.00543376211008973,0.0350059119571775,0.019779504857149,0.488900739043516,0.0392776284269091,0.337366681602141,0.00237281582376826,0.00787237087768548,0.0325324428513256,0.0286293276009647,0.00282881484927377
"D3",0.0934790839857056,0.146146788385169,0.228742688515032,0.161471085384642,0.0267300587451598,0.0235260698006799,0.0110882907591643,0.246052786865925,0.0456595488512654,0.0150032141163247,0.0021003845909334
"E3",0.141726991359854,7.87596881600734e-05,0.112413950942724,0.0194329793423737,0.201344919352065,0.0262581158919646,0.033541130211538,0.00739958835139722,0.173198207479541,0.283998953382817,0.000606403997564525
"G3",0.0139924474396978,0.075561972873984,0.173483264488306,0.246801165208467,0.0870652509974822,0.174363559225121,0.100102467452082,0.0463050614481837,0.0333616751850027,0.0162455251304375,0.0327176105512357
