"1","2","3","4"
"A1",0.999771109127462,0.000228890872537489,0,0
"B1",0.924844558347287,0.0751554416527128,0,0
"C1",0.999636776107818,0.000363223892181754,0,0
"D1",0.999847917782853,0.000152082217146474,0,0
"E1",0.999871517410908,0.000128482589092345,0,0
"G1",0.31741115723412,0.68258884276588,0,0
"H1",0.999851430089722,0.000148569910278204,0,0
"I1",0.917705236753349,0.0822947632466507,0,0
"J1",0.999864490159614,0.000135509840385705,0,0
"K1",0.645095598356079,0.354904401643921,0,0
"A2",0,0.892072290105077,0.107927709894923,0
"B2",0,0.757638671090017,0.242361328909983,0
"C2",0,0.999738111691064,0.000261888308936369,0
"D2",0,0.735753929419507,0.264246070580493,0
"E2",0,0.473459376668479,0.526540623331521,0
"G2",0,0.999447425654644,0.000552574345356136,0
"H2",0,0.465097299594162,0.534902700405838,0
"I2",0,0.85919281532842,0.14080718467158,0
"J2",0,0.999759027608764,0.000240972391235511,0
"K2",0,0.767366451613211,0.232633548386789,0
"A3",0,0,0.93087496243221,0.0691250375677902
"B3",0,0,0.895907618250081,0.104092381749919
"C3",0,0,0.774140797233399,0.225859202766601
"D3",0,0,0.999481608863307,0.000518391136692827
"E3",0,0,0.608693554545131,0.391306445454869
"G3",0,0,0.808013083218151,0.191986916781849
"H3",0,0,0.802293604893357,0.197706395106643
"I3",0,0,0.999664446502056,0.000335553497943619
"J3",0,0,0.999204360951179,0.00079563904882064
"K3",0,0,0.591019798306558,0.408980201693442
"END3",0,0,1,0
"A4",0,0,0,1
"B4",0,0,0,1
"C4",0,0,0,1
"D4",0,0,0,1
"E4",0,0,0,1
"G4",0,0,0,1
"H4",0,0,0,1
"I4",0,0,0,1
"J4",0,0,0,1
"K4",0,0,0,1
"END4",0,0,0,1
