"V1","V2"
6,0
9,7
15,10
0,9
16,15
10,7
7,10
10,7
15,6
0,8
25,23
9,11
6,9
14,9
21,12
33,25
13,11
10,5
6,25
10,13
18,12
6,0
32,38
21,7
7,4
30,29
6,5
0,8
11,8
18,34
6,8
17,15
8,9
25,29
8,10
6,4
11,8
21,11
6,0
0,6
33,14
17,13
12,28
7,0
12,23
9,6
0,6
10,17
0,8
8,3
19,16
0,6
16,9
23,21
11,9
9,8
21,6
13,8
6,0
6,0
15,14
38,41
30,26
10,8
6,24
30,13
15,18
13,4
0,7
14,26
21,20
13,0
0,7
7,9
17,4
6,5
15,12
4,7
16,6
14,5
11,4
11,12
13,9
8,0
13,8
30,23
18,14
0,9
10,0
23,22
8,0
14,12
0,7
13,12
20,14
15,11
14,24
18,5
10,3
12,7
7,0
0,6
0,6
9,5
14,11
5,12
7,8
10,19
51,17
10,0
7,17
14,16
6,5
21,35
13,7
0,8
15,11
8,5
8,0
26,16
12,18
11,21
25,13
9,19
7,4
35,37
14,10
10,3
0,6
14,13
6,15
13,11
11,8
7,24
9,7
18,7
10,5
11,12
20,10
25,11
12,11
45,30
27,22
25,18
26,6
6,0
8,0
25,6
14,25
18,10
6,0
9,10
27,16
19,0
19,22
10,14
47,32
12,14
8,6
10,26
0,15
23,14
9,8
8,7
10,6
6,5
12,6
10,22
23,8
10,9
12,11
13,12
17,16
15,10
26,35
18,19
15,5
0,6
33,26
6,0
13,0
7,0
12,4
0,7
7,5
10,11
12,15
6,9
17,16
0,6
6,0
19,36
17,8
11,13
14,8
11,4
23,19
24,12
8,0
6,19
8,0
13,20
11,5
6,15
6,0
10,13
21,30
13,9
0,11
28,20
15,14
8,10
30,38
7,0
16,15
6,0
20,13
6,0
17,16
18,10
8,7
13,24
0,6
8,0
0,6
28,23
18,4
13,0
13,0
14,10
15,11
11,10
11,0
13,4
11,10
10,4
10,7
10,0
19,18
22,14
11,10
16,18
7,0
10,7
0,9
12,4
7,0
11,13
22,19
20,19
11,6
6,9
19,0
14,0
14,12
10,13
6,0
5,9
0,6
11,8
6,0
14,17
13,5
8,7
8,0
17,13
20,13
0,7
25,26
23,21
0,6
7,6
0,6
10,12
8,0
16,8
0,6
31,21
27,31
13,12
5,15
19,6
26,13
3,8
12,8
4,6
34,24
4,12
0,6
11,6
6,0
17,4
27,16
4,15
0,9
6,0
28,20
23,12
8,9
33,28
