"V1","V2"
6,0
9,7
15,10
0,9
16,15
10,7
7,10
10,7
15,6
0,8
25,23
9,11
6,9
14,9
21,12
33,25
13,11
10,5
6,25
10,13
18,12
6,0
32,38
21,7
7,4
30,29
6,5
0,8
11,8
18,34
6,8
17,15
8,9
25,29
8,10
6,4
11,8
21,11
6,0
0,6
33,14
17,13
12,28
7,0
12,23
9,6
0,6
10,17
0,8
8,3
19,16
0,6
16,9
23,21
11,9
9,8
21,6
13,8
6,0
6,0
15,14
38,41
30,26
10,8
6,24
30,13
15,18
13,4
0,7
14,26
21,20
13,0
0,7
7,9
17,4
6,5
15,12
4,7
16,6
14,5
11,4
11,12
13,9
8,0
13,8
30,23
18,14
0,9
10,0
23,22
8,0
14,12
0,7
13,12
20,14
15,11
14,24
18,5
10,3
12,7
7,0
0,6
0,6
9,5
14,11
5,12
7,8
10,19
51,17
10,0
7,17
14,16
6,5
21,35
13,7
0,8
15,11
8,5
8,0
26,16
12,18
11,21
25,13
9,19
7,4
35,37
14,10
10,3
0,6
14,13
6,15
13,11
11,8
7,24
9,7
18,7
10,5
11,12
20,10
25,11
12,11
45,30
27,22
25,18
26,6
6,0
8,0
25,6
14,25
18,10
6,0
9,10
27,16
19,0
19,22
10,14
47,32
12,14
8,6
10,26
0,15
23,14
9,8
8,7
10,6
6,5
12,6
10,22
23,8
10,9
12,11
13,12
17,16
15,10
26,35
18,19
15,5
0,6
33,26
6,0
13,0
7,0
12,4
0,7
7,5
10,11
12,15
6,9
17,16
0,6
6,0
19,36
17,8
11,13
14,8
11,4
23,19
24,12
8,0
6,19
8,0
13,20
11,5
6,15
6,0
10,13
21,30
13,9
0,11
28,20
15,14
8,10
30,38
7,0
16,15
6,0
20,13
6,0
17,16
18,10
8,7
13,24
0,6
8,0
0,6
28,23
18,4
13,0
13,0
14,10
15,11
11,10
11,0
13,4
11,10
10,4
10,7
10,0
19,18
22,14
11,10
16,18
7,0
10,7
0,9
12,4
7,0
11,13
22,19
20,19
11,6
6,9
19,0
14,0
14,12
10,13
6,0
5,9
0,6
11,8
6,0
14,17
13,5
8,7
8,0
17,13
20,13
0,7
25,26
23,21
0,6
7,6
0,6
10,12
8,0
16,8
0,6
31,21
27,31
13,12
5,15
19,6
26,13
3,8
12,8
4,6
34,24
4,12
0,6
11,6
6,0
17,4
27,16
4,15
0,9
6,0
28,20
23,12
8,9
33,28
21,14
23,25
12,9
18,4
7,0
9,0
0,6
19,6
16,15
13,0
30,34
14,11
8,0
0,8
7,3
12,13
13,11
0,15
11,10
37,26
23,18
7,0
25,17
6,0
7,0
44,23
28,16
8,7
3,9
14,18
19,25
12,7
9,5
19,15
16,6
18,6
0,20
6,18
8,14
10,11
22,18
12,10
15,9
17,21
12,7
17,10
4,6
11,14
11,7
15,5
12,11
26,18
9,4
7,10
15,9
14,19
11,18
7,8
13,14
8,9
8,5
3,25
12,26
17,16
7,16
21,15
36,26
0,13
16,13
7,0
0,6
23,31
8,10
7,10
6,9
15,13
21,12
5,12
28,19
3,7
23,13
14,10
5,7
26,16
12,10
13,0
15,8
20,15
22,12
7,11
10,12
5,12
6,3
6,30
44,6
25,12
12,23
8,0
15,3
10,7
14,13
25,23
24,20
6,15
19,9
13,18
8,0
19,33
0,6
18,7
5,7
19,21
9,0
11,0
6,0
37,15
9,16
24,20
11,9
24,23
0,7
10,8
26,20
11,13
11,21
11,0
7,0
3,8
25,17
19,17
17,8
20,6
13,17
9,0
25,18
6,5
20,18
9,4
9,8
10,27
15,11
14,15
17,21
14,6
10,9
10,5
6,13
9,10
8,5
19,17
0,7
31,33
26,11
17,5
7,12
9,0
37,32
6,0
8,7
9,8
8,0
29,30
17,15
16,25
7,6
30,23
7,0
24,19
0,10
8,23
28,11
9,15
12,4
22,21
9,0
0,9
25,8
6,11
27,39
13,0
3,9
12,18
7,14
7,6
14,16
17,8
0,10
28,7
0,6
4,9
23,20
11,4
9,15
19,13
10,0
7,6
22,14
8,0
33,36
17,13
8,11
23,10
5,7
6,0
13,0
18,16
16,13
19,26
26,15
21,33
6,0
6,0
19,14
7,0
0,6
8,12
18,10
18,23
7,17
27,9
13,4
0,10
0,9
40,29
27,15
9,15
22,7
9,0
11,10
27,9
11,7
16,0
15,5
7,0
16,23
10,7
7,0
0,6
7,30
5,20
0,6
6,0
50,36
8,0
18,23
20,18
14,8
0,7
16,12
32,24
15,5
7,16
7,11
6,10
23,14
19,17
7,10
13,6
5,11
12,13
15,20
29,9
10,18
10,5
0,7
26,24
5,9
6,13
18,14
7,5
8,9
12,10
17,12
11,10
23,22
9,14
6,0
17,8
15,6
19,11
21,16
6,10
10,12
14,13
22,15
8,0
14,10
30,20
6,0
0,6
9,23
13,3
6,0
10,11
0,6
12,4
3,7
7,0
21,19
8,0
26,16
17,6
20,19
12,16
38,5
11,0
13,5
11,21
6,0
23,11
5,13
12,4
16,13
5,7
4,9
30,27
26,17
27,19
33,9
12,17
13,15
0,6
21,15
10,0
10,13
23,20
15,12
0,14
25,15
9,0
16,10
19,14
12,0
20,19
11,5
7,5
9,8
20,15
20,17
11,0
15,10
27,40
7,27
21,14
6,0
16,9
0,7
6,0
9,0
11,7
6,0
43,37
11,0
7,4
0,11
8,13
11,12
22,20
6,5
10,7
7,4
27,26
13,0
6,8
37,38
24,13
19,9
7,0
21,10
13,0
21,18
9,11
14,18
8,7
10,0
26,15
21,13
8,12
13,12
8,6
14,31
0,6
42,6
14,6
5,23
8,0
20,10
6,9
12,13
10,5
12,13
14,0
8,9
12,9
26,5
14,12
0,6
12,23
4,10
9,6
17,22
0,6
11,13
18,11
8,6
26,15
12,14
9,6
6,9
11,5
6,13
8,0
11,14
28,18
15,7
7,0
8,5
10,4
24,14
0,12
22,9
6,5
15,6
11,0
12,17
17,7
4,16
9,16
12,10
16,13
29,21
24,18
7,0
21,15
0,14
13,11
16,8
10,0
17,3
7,10
19,18
24,11
31,44
6,14
30,13
25,24
47,39
9,11
10,5
6,0
37,31
16,25
7,0
10,7
9,14
10,14
24,16
6,5
13,11
7,10
0,6
8,39
7,6
0,13
19,17
8,0
28,8
28,25
7,9
16,7
11,4
17,8
16,11
23,9
0,14
12,22
8,13
5,9
8,19
17,9
10,17
11,9
0,18
10,13
20,11
12,17
11,8
17,0
12,28
0,9
15,12
8,0
8,0
13,15
9,10
15,18
17,4
15,4
7,4
0,6
