"1","2","3","4"
"A1",0.906291314531642,0.093708685468358,0,0
"B1",0.989724406580289,0.0102755934197111,0,0
"C1",0.964565430255026,0.0354345697449739,0,0
"D1",0.672939471650017,0.327060528349983,0,0
"E1",0.98068179012046,0.0193182098795399,0,0
"G1",0.999832967084234,0.000167032915766048,0,0
"H1",0.529559550830717,0.470440449169283,0,0
"I1",0.999517981348894,0.000482018651105872,0,0
"J1",0.999784624338302,0.000215375661697735,0,0
"K1",0.870054830760096,0.129945169239904,0,0
"A2",0,0.737699477196706,0.262300522803294,0
"B2",0,0.632507289439334,0.367492710560666,0
"C2",0,0.536125908973463,0.463874091026536,0
"D2",0,0.384828652139046,0.615171347860955,0
"E2",0,0.938004768635229,0.0619952313647708,0
"G2",0,0.999855756527741,0.000144243472258861,0
"H2",0,0.999798579349606,0.000201420650394202,0
"I2",0,0.796760519557995,0.203239480442005,0
"J2",0,0.999772338621623,0.00022766137837654,0
"K2",0,0.697881386201824,0.302118613798176,0
"A3",0,0,0.999770492592842,0.0002295074071582
"B3",0,0,0.922680172849498,0.0773198271505018
"C3",0,0,0.984962923491474,0.0150370765085258
"D3",0,0,0.812465906586419,0.187534093413581
"E3",0,0,0.999844339928447,0.000155660071552985
"G3",0,0,0.811834462840811,0.188165537159189
"H3",0,0,0.241089883645782,0.758910116354218
"I3",0,0,0.52470021861104,0.47529978138896
"J3",0,0,0.999733098839782,0.000266901160218232
"K3",0,0,0.998401825500214,0.00159817449978622
"END3",0,0,1,0
"A4",0,0,0,1
"B4",0,0,0,1
"C4",0,0,0,1
"D4",0,0,0,1
"E4",0,0,0,1
"G4",0,0,0,1
"H4",0,0,0,1
"I4",0,0,0,1
"J4",0,0,0,1
"K4",0,0,0,1
"END4",0,0,0,1
