"1","2","3","4"
"A1",0.856266988494157,0.143733011505843,0,0
"B1",0.106278837792511,0.893721162207489,0,0
"C1",0.734440044430726,0.265559955569274,0,0
"D1",0.674667502809207,0.325332497190793,0,0
"E1",0.999769061454468,0.000230938545532131,0,0
"G1",0.999801445809546,0.000198554190454064,0,0
"H1",0.99982128501311,0.000178714986890049,0,0
"I1",0.493258348968327,0.506741651031673,0,0
"J1",0.418584107948231,0.581415892051769,0,0
"K1",0.999619591817946,0.00038040818205362,0,0
"A2",0,0.999821036103987,0.000178963896012795,0
"B2",0,0.638564830223045,0.361435169776955,0
"C2",0,0.76954544421916,0.23045455578084,0
"D2",0,0.591079529067921,0.408920470932079,0
"E2",0,0.938603852436845,0.061396147563155,0
"G2",0,0.923239195477734,0.076760804522266,0
"H2",0,0.999874359380454,0.000125640619546012,0
"I2",0,0.523551065022383,0.476448934977617,0
"J2",0,0.999768172536089,0.000231827463911048,0
"K2",0,0.467385479216387,0.532614520783614,0
"A3",0,0,0.999173265723825,0.000826734276174604
"B3",0,0,0.000337379849696004,0.999662620150304
"C3",0,0,0.868351024859639,0.131648975140361
"D3",0,0,0.580739084111789,0.419260915888211
"E3",0,0,0.892555399715513,0.107444600284487
"G3",0,0,0.593158007304708,0.406841992695292
"H3",0,0,0.288627144160766,0.711372855839234
"I3",0,0,0.385595832692572,0.614404167307428
"J3",0,0,0.999644782195168,0.000355217804831709
"K3",0,0,0.966071226802124,0.0339287731978761
"END3",0,0,1,0
"A4",0,0,0,1
"B4",0,0,0,1
"C4",0,0,0,1
"D4",0,0,0,1
"E4",0,0,0,1
"G4",0,0,0,1
"H4",0,0,0,1
"I4",0,0,0,1
"J4",0,0,0,1
"K4",0,0,0,1
"END4",0,0,0,1
