"1","2","3","4"
"A1",0.999527345129033,0.000472654870967129,0,0
"B1",0.567533394958799,0.432466605041201,0,0
"C1",0.491725703972037,0.508274296027963,0,0
"D1",0.394772761411124,0.605227238588876,0,0
"E1",0.980230039436733,0.0197699605632668,0,0
"G1",0.89472847698403,0.10527152301597,0,0
"H1",0.997332856272975,0.00266714372702483,0,0
"I1",0.999998697363797,1.30263620280263e-06,0,0
"J1",0.991459091614501,0.00854090838549863,0,0
"K1",0.999673285627633,0.000326714372367447,0,0
"A2",0,0.982972097406652,0.0170279025933478,0
"B2",0,0.999407787776152,0.000592212223848027,0
"C2",0,0.806448482618301,0.193551517381699,0
"D2",0,0.746457114198125,0.253542885801875,0
"E2",0,0.363193358846305,0.636806641153695,0
"G2",0,0.693785230210472,0.306214769789528,0
"H2",0,0.590860435144513,0.409139564855487,0
"I2",0,0.103680912440723,0.896319087559277,0
"J2",0,0.999999993666294,6.33370573851563e-09,0
"K2",0,0.123725398940014,0.876274601059986,0
"A3",0,0,0.999976785447645,2.32145523550304e-05
"B3",0,0,0.81946368200551,0.18053631799449
"C3",0,0,0.995825286151045,0.00417471384895502
"D3",0,0,0.170891019398321,0.829108980601679
"E3",0,0,0.994965293037501,0.00503470696249941
"G3",0,0,0.301246675936493,0.698753324063507
"H3",0,0,0.975518516194864,0.0244814838051365
"I3",0,0,0.981858344446481,0.0181416555535191
"J3",0,0,0.98725153599815,0.0127484640018497
"K3",0,0,0.999999663382135,3.36617864799961e-07
"END3",0,0,1,0
"A4",0,0,0,1
"B4",0,0,0,1
"C4",0,0,0,1
"D4",0,0,0,1
"E4",0,0,0,1
"G4",0,0,0,1
"H4",0,0,0,1
"I4",0,0,0,1
"J4",0,0,0,1
"K4",0,0,0,1
"END4",0,0,0,1
